Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
HTTP请求,1000,2171,671,2837,268.12,0.000%,245.03798,53.75,74.16,224.6
总体,1000,2171,671,2837,268.12,0.000%,245.03798,53.75,74.16,224.6
